test,result
StackBad,1.1279704570770264
StackBad,1.0096464157104492
StackBad,1.0018181800842285
StackBad,1.0991582870483398
StackBad_jpf,1.277385950088501
StackBad_jpf,1.2953388690948486
StackBad_jpf,1.4209249019622803
StackBad_jpf,1.18668532371521
TwostageBad,2.3767335414886475
TwostageBad,0.9996163845062256
TwostageBad,7.331664800643921
TwostageBad,4.703286409378052
TwostageBad_jpf,1.0903282165527344
TwostageBad_jpf,1.1491315364837646
TwostageBad_jpf,1.1876418590545654
TwostageBad_jpf,1.1274518966674805
Wronglock1Bad,0.9943397045135498
Wronglock1Bad,0.9679017066955566
Wronglock1Bad,0.9873397350311279
Wronglock1Bad,1.1929311752319336
Wronglock1Bad_jpf,0.9855637550354004
Wronglock1Bad_jpf,1.0133953094482422
Wronglock1Bad_jpf,1.0730760097503662
Wronglock1Bad_jpf,1.0681774616241455
Wronglock3Bad,1.3812015056610107
Wronglock3Bad,1.116302728652954
Wronglock3Bad,1.385040283203125
Wronglock3Bad,1.106046199798584
Wronglock3Bad_jpf,4.362874269485474
Wronglock3Bad_jpf,4.718725681304932
Wronglock3Bad_jpf,4.479875564575195
Wronglock3Bad_jpf,4.3861329555511475
WronglockBad,1.5012171268463135
WronglockBad,1.95814847946167
WronglockBad,1.4939706325531006
WronglockBad,1.6917016506195068
WronglockBad_jpf,>30
WronglockBad_jpf,>30
WronglockBad_jpf,>30
WronglockBad_jpf,>30
